#========================================================================================================																																																						
#	Gmacs	Main	Data	File	Version	1.1:	BBRKC	Example																																														
#	GEAR_INDEX	DESCRIPTION																																																				
#	1	:	Pot	fishery	retained	catch.																																																
#	1	:	Pot	fishery	with	discarded	catch.																																															
#	2	:	Trawl	bycatch																																																		
#	3	:	Trawl	survey																																																		
#	Fisheries:	1	Pot	"Fishery,"	2	Pot	"Discard,"	3	Trawl	"by-catch,"	4	Tanner bycatch 5 fixed gear																																										
#	Surveys:	6	NMFS	Trawl	"Survey,"	7	BSFRF	Survey																																														
#========================================================================================================																																																						
1982	# Start	year																																																				
2019	# End	year																																																				
3	# Number of seasons																																																					
8	# Number of fleets (fishing fleets and surveys)																																																					
2	# Number of sexes																																																					
1	# Number of shell condition types																																																					
2	# Number of maturity types																																																					
22	# Number of size-classes in the	model																																																				
3	# Season recruitment occurs																																																					
3	# Season molting and growth occurs																																																					
2	# Season to calculate SSB																																																					
1	# Season for N output																																																					
# maximum size-class (males then females)																																																						
22 22																																																						
#	size_breaks (a	vector	giving	the	break	points	between	size	"intervals,"	dim=nclass+1)																																												
25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135																																
#	Natural	mortality	per	season	input	type	(1	=	vector	by	"season,"	2	=	matrix	by	season/year)																																						
1																																																						
#	Proportion of the total	natural	mortality to be	applied	each	season																																																
#0.625 0.00 0.375																																																						
0.62 0.01 0.37																																																						
# Fishing fleet	names (delimited with spaces; no spaces in names)																																																					
Pot_Fishery Trawl_Bycatch																																																						
# Survey names (delimited with spaces; no spaces in names)																																																						
NMFS_Trawl_1982 NMFS_Trawl_1989	BSFRF_2009 NMFS_2009 BSFRF_2010 NMFS_2010																																																					
# Are the seasons instantaneous (0) or continuous (1)																																																						
1 1 1																																																						
#1 1 1 1 1 1 1																																																						
# Number of catch data frames																																																						
4																																																						
# Number of rows in each data frame																																																						
37	37	37	37																																																			
##		##																																																				
##	CATCH	DATA																																																				
##	Type of	"catch: 1 = retained, 2"	"= discard, 0 ="	total																																																		
##	Units of catch:	"1 = biomass, 2 = numbers"																																																				
##	for snow Units	are in 1000 mt	for landed & discards.																																																			
##		##																																																				
##	Male	retained	pot	fishery	(tonnes)																																																	
#year	seas	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality																																												
1982	2	1	1	11.8518	0.05	1	1	1	0	0.3																																												
1983	2	1	1	12.1623	0.05	1	1	1	0	0.3																																												
1984	2	1	1	29.9369	0.05	1	1	1	0	0.3																																												
1985	2	1	1	44.4455	0.05	1	1	1	0	0.3																																												
1986	2	1	1	46.2231	0.05	1	1	1	0	0.3																																												
1987	2	1	1	61.3965	0.05	1	1	1	0	0.3																																												
1988	2	1	1	67.7927	0.05	1	1	1	0	0.3																																												
1989	2	1	1	73.4017	0.05	1	1	1	0	0.3																																												
1990	2	1	1	149.073	0.05	1	1	1	0	0.3																																												
1991	2	1	1	143.02	0.05	1	1	1	0	0.3																																												
1992	2	1	1	104.684	0.05	1	1	1	0	0.3																																												
1993	2	1	1	67.9378	0.05	1	1	1	0	0.3																																												
1994	2	1	1	34.1344	0.05	1	1	1	0	0.3																																												
1995	2	1	1	29.8071	0.05	1	1	1	0	0.3																																												
1996	2	1	1	54.2244	0.05	1	1	1	0	0.3																																												
1997	2	1	1	114.392	0.05	1	1	1	0	0.3																																												
1998	2	1	1	88.0885	0.05	1	1	1	0	0.3																																												
1999	2	1	1	15.1009	0.05	1	1	1	0	0.3																																												
2000	2	1	1	11.4562	0.05	1	1	1	0	0.3																																												
2001	2	1	1	14.8021	0.05	1	1	1	0	0.3																																												
2002	2	1	1	12.8445	0.05	1	1	1	0	0.3																																												
2003	2	1	1	10.8602	0.05	1	1	1	0	0.3																																												
2004	2	1	1	11.291	0.05	1	1	1	0	0.3																																												
2005	2	1	1	16.7712	0.05	1	1	1	0	0.3																																												
2006	2	1	1	16.4908	0.05	1	1	1	0	0.3																																												
2007	2	1	1	28.592	0.05	1	1	1	0	0.3																																												
2008	2	1	1	26.5571	0.05	1	1	1	0	0.3																																												
2009	2	1	1	21.779	0.05	1	1	1	0	0.3																																												
2010	2	1	1	24.6136	0.05	1	1	1	0	0.3																																												
2011	2	1	1	40.2933	0.05	1	1	1	0	0.3																																												
2012	2	1	1	30.0529	0.05	1	1	1	0	0.3																																												
2013	2	1	1	24.4867	0.05	1	1	1	0	0.3																																												
2014	2	1	1	30.8181	0.05	1	1	1	0	0.3																																												
2015	2	1	1	18.4212	0.05	1	1	1	0	0.3																																												
2016	2	1	1	9.67089	0.05	1	1	1	0	0.3																																												
2017	2	1	1	8.60177	0.05	1	1	1	0	0.3																																												
2018	2	1	1	12.5094	0.05	1	1	1	0	0.3																																												
##	Male	discard	pot	fishery																																																		
#year	seas	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality																																												
1982	2	1	1	1.2665	0.05	2	1	1	0	0.3																																												
1983	2	1	1	1.23826	0.05	2	1	1	0	0.3																																												
1984	2	1	1	2.75873	0.05	2	1	1	0	0.3																																												
1985	2	1	1	4.01467	0.05	2	1	1	0	0.3																																												
1986	2	1	1	4.24531	0.05	2	1	1	0	0.3																																												
1987	2	1	1	5.52241	0.05	2	1	1	0	0.3																																												
1988	2	1	1	5.81669	0.05	2	1	1	0	0.3																																												
1989	2	1	1	6.68474	0.05	2	1	1	0	0.3																																												
1990	2	1	1	15.2104	0.05	2	1	1	0	0.3																																												
1991	2	1	1	12.0007	0.05	2	1	1	0	0.3																																												
1992	2	1	1	17.0594	0.05	2	1	1	0	0.3																																												
1993	2	1	1	5.32105	0.05	2	1	1	0	0.3																																												
1994	2	1	1	4.03107	0.05	2	1	1	0	0.3																																												
1995	2	1	1	5.75369	0.05	2	1	1	0	0.3																																												
1996	2	1	1	7.43796	0.05	2	1	1	0	0.3																																												
1997	2	1	1	5.73442	0.05	2	1	1	0	0.3																																												
1998	2	1	1	4.66529	0.05	2	1	1	0	0.3																																												
1999	2	1	1	0.51769	0.05	2	1	1	0	0.3																																												
2000	2	1	1	0.61915	0.05	2	1	1	0	0.3																																												
2001	2	1	1	1.88619	0.05	2	1	1	0	0.3																																												
2002	2	1	1	1.47237	0.05	2	1	1	0	0.3																																												
2003	2	1	1	0.57274	0.05	2	1	1	0	0.3																																												
2004	2	1	1	0.50851	0.05	2	1	1	0	0.3																																												
2005	2	1	1	1.35931	0.05	2	1	1	0	0.3																																												
2006	2	1	1	1.77529	0.05	2	1	1	0	0.3																																												
2007	2	1	1	2.53489	0.05	2	1	1	0	0.3																																												
2008	2	1	1	2.06014	0.05	2	1	1	0	0.3																																												
2009	2	1	1	1.22884	0.05	2	1	1	0	0.3																																												
2010	2	1	1	0.61629	0.05	2	1	1	0	0.3																																												
2011	2	1	1	1.68996	0.05	2	1	1	0	0.3																																												
2012	2	1	1	2.32367	0.05	2	1	1	0	0.3																																												
2013	2	1	1	3.27274	0.05	2	1	1	0	0.3																																												
2014	2	1	1	3.52222	0.05	2	1	1	0	0.3																																												
2015	2	1	1	2.955	0.05	2	1	1	0	0.3																																												
2016	2	1	1	1.3119	0.05	2	1	1	0	0.3																																												
2017	2	1	1	1.93176	0.05	2	1	1	0	0.3																																												
2018	2	1	1	2.86297	0.05	2	1	1	0	0.3																																												
##	Female	discard	pot	fishery																																																		
#year	seas	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality																																												
1982	2	1	2	0.015556	0.05	2	1	1	0	0.3																																												
1983	2	1	2	0.0108887	0.05	2	1	1	0	0.3																																												
1984	2	1	2	0.010782	0.05	2	1	1	0	0.3																																												
1985	2	1	2	0.0108527	0.05	2	1	1	0	0.3																																												
1986	2	1	2	0.0239127	0.05	2	1	1	0	0.3																																												
1987	2	1	2	0.0345783	0.05	2	1	1	0	0.3																																												
1988	2	1	2	0.0367518	0.05	2	1	1	0	0.3																																												
1989	2	1	2	0.0477847	0.05	2	1	1	0	0.3																																												
1990	2	1	2	0.0509047	0.05	2	1	1	0	0.3																																												
1991	2	1	2	0.058299	0.05	2	1	1	0	0.3																																												
1992	2	1	2	0.119838	0.05	2	1	1	0	0.3																																												
1993	2	1	2	0.0800336	0.05	2	1	1	0	0.3																																												
1994	2	1	2	0.0577576	0.05	2	1	1	0	0.3																																												
1995	2	1	2	0.0156582	0.05	2	1	1	0	0.3																																												
1996	2	1	2	0.0691276	0.05	2	1	1	0	0.3																																												
1997	2	1	2	0.00539956	0.05	2	1	1	0	0.3																																												
1998	2	1	2	0.00652564	0.05	2	1	1	0	0.3																																												
1999	2	1	2	0.000398846	0.05	2	1	1	0	0.3																																												
2000	2	1	2	0.000419268	0.05	2	1	1	0	0.3																																												
2001	2	1	2	0.000419268	0.05	2	1	1	0	0.3																																												
2002	2	1	2	0.00424435	0.05	2	1	1	0	0.3																																												
2003	2	1	2	0.000623222	0.05	2	1	1	0	0.3																																												
2004	2	1	2	0.000623222	0.05	2	1	1	0	0.3																																												
2005	2	1	2	0.00234871	0.05	2	1	1	0	0.3																																												
2006	2	1	2	0.000740955	0.05	2	1	1	0	0.3																																												
2007	2	1	2	0.0106352	0.05	2	1	1	0	0.3																																												
2008	2	1	2	0.00819622	0.05	2	1	1	0	0.3																																												
2009	2	1	2	0.00726154	0.05	2	1	1	0	0.3																																												
2010	2	1	2	0.00604923	0.05	2	1	1	0	0.3																																												
2011	2	1	2	0.17645		0.05	2	1	1	0	0.3																																											
2012	2	1	2	0.0276122	0.05	2	1	1	0	0.3																																												
2013	2	1	2	0.0651188	0.05	2	1	1	0	0.3																																												
2014	2	1	2	0.168694	0.05	2	1	1	0	0.3																																												
2015	2	1	2	0.0686591	0.05	2	1	1	0	0.3																																												
2016	2	1	2	0.0189331	0.05	2	1	1	0	0.3																																												
2017	2	1	2	0.0181628	0.05	2	1	1	0	0.3																																												
